,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genres,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
99,tt3890160,"[""'Action'"", "" 'Crime'""]",112,2017-06-28,85,1,1,10,4,114,4,31,7.6,34000000,6,"['Action', 'Crime']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,tt1648190,"[""'Action'"", "" 'Fantasy'"", "" 'Science Fiction'"", "" 'Western'"", "" 'Horror'""]",95,2017-08-03,64,1,5,8,8,71,6,43,5.7,60000000,8,"['Action', 'Fantasy', 'Science Fiction', 'Western', 'Horror']",1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
101,tt3501632,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Fantasy'"", "" 'Science Fiction'""]",130,2017-10-25,117,1,9,8,15,102,3,38,7.9,180000000,10,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
102,tt5519340,"[""'Action'"", "" 'Crime'"", "" 'Fantasy'""]",117,2017-12-22,96,1,1,10,4,104,3,5,6.4,90000000,12,"['Action', 'Crime', 'Fantasy']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,tt5580036,"[""'Drama'""]",121,2017-12-08,97,1,1,14,3,12,2,1,7.5,11000000,12,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,tt5052448,"[""'Mystery'"", "" 'Thriller'"", "" 'Horror'""]",104,2017-02-24,43,1,1,13,4,18,6,28,7.7,4500000,2,"['Mystery', 'Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
105,tt0974015,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",120,2017-11-15,185,1,10,20,15,190,7,24,6.5,300000000,11,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
106,tt3402236,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'""]",114,2017-11-03,103,1,2,14,7,45,7,24,6.5,55000000,11,"['Crime', 'Drama', 'Mystery']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
107,tt2380307,"[""'Animation'"", "" 'Family'"", "" 'Comedy'"", "" 'Adventure'"", "" 'Fantasy'""]",105,2017-10-27,23,2,4,3,111,123,2,25,8.4,175000000,10,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
108,tt1856101,"[""'Science Fiction'"", "" 'Thriller'""]",163,2017-10-04,38,1,3,16,19,65,8,1,8.0,150000000,10,"['Science Fiction', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
