,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
166,tt5657856,"[""'Action'"", "" 'Crime'"", "" 'Thriller'""]",132,2017-09-23,53,1,1,9,1,18,7,2,7,64453,9
167,tt1536537,"[""'Science Fiction'"", "" 'Thriller'"", "" 'Drama'""]",123,2017-08-18,42,1,2,15,4,23,7,16,6,27975429,8
168,tt1981128,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'""]",109,2017-10-13,170,1,2,9,13,83,6,26,5,120000000,10
169,tt1389072,"[""'Comedy'"", "" 'Drama'"", "" 'Science Fiction'""]",135,2017-12-22,172,1,2,11,10,8,3,37,5,68000000,12
171,tt4209788,"[""'Crime'"", "" 'Drama'""]",140,2017-12-21,102,1,2,16,7,24,5,1,7,2349967,12
172,tt4481414,"[""'Drama'"", "" 'Family'"", "" 'Comedy'""]",101,2017-04-12,78,1,1,8,3,14,4,1,7,7000000,4
173,tt5776858,"[""'Drama'"", "" 'Romance'""]",131,2017-12-25,82,1,1,8,9,22,4,40,7,35000000,12
174,tt4846232,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",101,2017-08-11,87,2,2,8,2,3,2,20,7,125101,8
175,tt4622512,"[""'Comedy'"", "" 'Drama'"", "" 'History'""]",121,2017-09-05,137,2,1,6,2,4,4,17,6,25000000,9
176,tt3829920,"[""'Drama'""]",133,2017-09-22,93,1,3,12,5,20,3,44,7,38000000,9
177,tt3967856,"[""'Adventure'"", "" 'Drama'"", "" 'Science Fiction'"", "" 'Action'""]",122,2017-06-28,118,1,2,17,5,52,3,2,7,50000000,6
178,tt5294550,"[""'Thriller'"", "" 'Drama'"", "" 'Crime'"", "" 'Mystery'""]",132,2017-12-21,80,1,2,10,12,34,6,37,6,50000000,12
179,tt5715874,"[""'Drama'"", "" 'Thriller'"", "" 'Mystery'""]",122,2017-10-20,69,1,2,16,3,24,3,18,7,115120,10
181,tt4287320,"[""'Drama'"", "" 'Thriller'"", "" 'Science Fiction'""]",110,2017-04-27,75,1,2,14,4,10,6,1,5,18000000,4
182,tt4765284,"[""'Comedy'"", "" 'Music'""]",93,2017-12-20,163,1,3,8,2,47,4,19,5,45000000,12
183,tt4995790,"[""'Drama'""]",151,2017-08-25,56,1,1,12,11,4,14,23,7,74233,8
184,tt4465564,"[""'Drama'"", "" 'Romance'""]",118,2017-02-08,53,1,2,4,4,32,6,19,4,55000000,2
185,tt4468740,"[""'Adventure'"", "" 'Comedy'"", "" 'Family'""]",104,2017-11-09,124,1,4,11,4,17,7,37,7,40000000,11
186,tt1615160,"[""'Action'"", "" 'Thriller'"", "" 'Drama'""]",113,2017-09-28,97,1,2,32,3,41,8,30,7,35000000,9
188,tt2763304,"[""'Crime'"", "" 'Drama'""]",117,2017-01-27,70,1,2,8,13,46,7,30,7,18000000,1
189,tt4695012,"[""'Horror'"", "" 'Thriller'"", "" 'Mystery'"", "" 'Drama'""]",91,2017-06-09,10,1,1,8,6,21,2,16,6,5000000,6
190,tt1753383,"[""'Comedy'"", "" 'Drama'"", "" 'Family'"", "" 'Fantasy'""]",100,2017-01-19,60,1,5,7,8,16,6,59,7,22000000,1
191,tt6265828,"[""'Drama'"", "" 'Fantasy'"", "" 'Romance'""]",93,2017-07-07,71,1,1,5,2,2,3,28,6,100000,7
192,tt4686844,"[""'Comedy'"", "" 'History'""]",107,2017-10-20,108,1,6,13,2,13,11,1,7,184805,10
193,tt3348730,"[""'Crime'"", "" 'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",92,2017-10-26,32,2,2,11,2,16,4,23,5,10000000,10
194,tt5742374,"[""'Drama'"", "" 'Thriller'"", "" 'Crime'""]",89,2017-11-08,40,1,2,14,4,29,3,1,6,132829,11
195,tt2582782,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'"", "" 'Western'""]",102,2016-08-12,64,1,1,15,4,28,4,25,7,12000000,8
196,tt4160708,"[""'Crime'"", "" 'Horror'"", "" 'Thriller'""]",89,2016-08-25,19,1,2,14,5,11,6,3,7,9900000,8
197,tt2660888,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",122,2016-07-07,84,1,6,11,9,79,7,42,7,185000000,7
198,tt2094766,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",115,2016-12-21,81,1,6,16,6,88,11,29,5,125000000,12
199,tt4196776,"[""'Action'"", "" 'Thriller'""]",123,2016-07-27,229,1,3,17,16,174,6,40,6,120000000,7
200,tt1935859,"[""'Drama'"", "" 'Fantasy'"", "" 'Adventure'"", "" 'Family'""]",127,2016-09-28,102,1,2,6,15,69,8,25,6,110000000,9
201,tt3062096,"[""'Mystery'"", "" 'Thriller'"", "" 'Drama'""]",121,2016-10-13,59,1,2,10,19,69,4,43,6,75000000,10
