,0,1,2,3,4,5,6,7,8,9
tt2015381,['127'],127,1,11,10,15,105,3,37,37
tt1843866,['239'],239,2,7,9,7,148,3,48,48
tt0455944,['129'],129,1,3,13,3,29,7,38,38
tt2209764,['90'],90,1,1,16,4,71,4,50,50
tt2446042,['92'],92,1,2,3,9,87,10,1,1
tt1631867,['93'],93,1,4,15,17,61,8,41,41
tt1872181,['215'],215,1,6,8,11,93,4,33,33
tt2245084,['47'],47,2,6,4,2,13,3,32,32
tt2713180,['132'],132,1,1,11,4,47,6,1,1
tt1234721,['102'],102,1,3,6,6,190,4,45,45
tt1790864,['53'],53,1,4,7,2,27,6,33,33
tt2802144,['130'],130,1,4,9,1,139,4,36,36
tt2294449,['133'],133,2,6,11,5,101,10,30,30
tt1065073,['100'],100,1,1,9,9,5,2,1,1
tt1418377,['44'],44,1,3,14,11,57,4,1,1
tt3011894,['69'],69,1,2,8,5,15,6,1,1
tt2096672,['151'],151,2,6,14,7,51,5,49,49
tt0458481,['86'],86,2,1,33,3,32,5,1,1
tt1126590,['104'],104,1,2,11,10,9,4,33,33
tt1956620,['112'],112,1,3,9,2,8,5,29,29
tt2333784,['39'],39,1,4,18,9,100,6,34,34
tt2265171,['72'],72,1,1,8,8,,2,1,1
tt2357291,['73'],73,1,6,3,133,41,3,30,30
tt3316960,['32'],32,2,3,17,3,11,6,2,2
tt2170593,['71'],71,1,1,15,5,1,4,22,22
tt1809398,['122'],122,1,5,11,7,42,3,20,20
tt3416742,['60'],60,2,2,6,17,1,5,24,24
tt2980592,['36'],36,1,1,6,4,16,2,16,16
tt0365907,['71'],71,1,2,19,2,23,8,48,48
tt1100089,['163'],163,1,2,14,7,5,3,1,1
tt1972571,['31'],31,1,3,14,5,19,8,2,2
tt1921064,['47'],47,1,3,9,4,160,5,1,1
tt1121096,['46'],46,1,4,10,6,68,7,23,23
tt2884206,['33'],33,1,1,19,3,26,4,1,1
tt2180411,['47'],47,1,1,6,13,89,5,22,22
tt3322940,['26'],26,1,1,10,2,12,5,34,34
tt1605717,['55'],55,1,2,9,3,11,4,1,1
tt2203939,['89'],89,1,1,5,4,11,2,26,26
tt1355630,['50'],50,1,2,7,3,6,3,27,27
tt0435651,['26'],26,1,3,14,7,30,6,33,33
tt1791528,['109'],109,1,2,8,3,13,4,30,30
tt1638002,['54'],54,1,2,10,4,8,2,1,1
tt1086772,['89'],89,1,2,14,6,12,4,31,31
tt3007512,['82'],82,1,2,12,8,35,5,22,22
tt2170439,['67'],67,1,5,11,3,25,3,34,34
tt2692250,['89'],89,1,5,10,8,26,5,33,33
tt2975578,['76'],76,1,1,8,7,39,4,29,29
tt1600196,['49'],49,1,1,7,2,4,6,30,30
tt1911658,['49'],49,2,5,11,1,,2,29,29
tt2980648,['41'],41,1,2,9,13,12,8,23,23
tt1924435,['170'],170,1,2,5,5,30,3,19,19
tt2305051,['82'],82,1,2,9,3,16,3,34,34
tt1800246,['46'],46,1,1,18,5,3,6,2,2
tt1267297,['71'],71,1,3,8,10,91,7,42,42
tt1205537,['166'],166,1,3,11,11,99,6,46,46
tt2369135,['89'],89,1,2,9,5,88,3,1,1
tt1020072,['138'],138,1,1,11,4,52,7,30,30
tt2338151,['31'],31,1,2,4,6,6,2,7,7
tt1109624,['71'],71,1,3,11,3,12,9,1,1
tt2177771,['113'],113,1,4,6,8,33,5,26,26
tt1408253,['74'],74,1,4,8,3,74,5,19,19
tt1528100,['77'],77,1,4,15,14,127,4,40,40
tt2172934,['55'],55,1,2,10,21,72,4,3,3
tt2870612,['16'],16,1,2,8,4,17,3,20,20
tt6644200,['7'],7,1,3,12,4,16,2,30,30
tt6155172,['21'],21,1,1,10,4,16,2,11,11
tt1477834,['85'],85,1,6,10,13,71,6,21,21
tt4881806,['104'],104,1,3,7,9,114,4,48,48
tt1270797,['123'],123,1,5,9,4,121,7,27,27
tt2557478,['82'],82,1,5,14,13,90,10,35,35
tt1517451,['127'],127,1,9,15,8,66,7,16,16
tt4154756,['103'],103,2,12,14,19,182,3,44,44
tt5814060,['51'],51,1,2,9,4,33,3,18,18
tt7784604,['32'],32,1,1,13,2,8,1,25,25
tt5104604,['49'],49,1,4,13,17,2,4,1,1
tt3606756,['24'],24,1,1,3,115,36,2,26,26
tt9495224,['22'],22,1,1,5,5,5,2,2,2
tt3846674,['25'],25,1,2,13,4,2,3,2,2
tt3766354,['110'],110,1,3,13,1,28,7,19,19
tt1502407,['63'],63,1,5,18,2,10,6,1,1
tt1727824,['115'],115,1,2,12,6,10,5,21,21
tt1677720,['160'],160,1,2,11,15,67,7,26,26
