,0,1,2,3
tt1860357,"['Drama', 'Action']",107.0,2016-09-29,7.4
tt4975722,['Drama'],111.0,2016-10-21,7.4
tt3783958,"['Comedy', 'Drama', 'Romance']",129.0,2016-11-29,7.4
tt0803096,"['Action', 'Adventure', 'Fantasy']",123.0,2016-05-25,7.4
tt1489889,"['Action', 'Comedy', 'Mystery']",107.0,2016-06-15,7.4
tt1211837,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",115.0,2016-10-25,7.4
tt3183660,"['Adventure', 'Family', 'Fantasy']",133.0,2016-11-16,7.4
tt2277860,"['Adventure', 'Animation', 'Comedy', 'Family']",97.0,2016-06-16,7.4
tt3631112,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",112.0,2016-10-05,7.4
tt3385516,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",144.0,2016-05-18,7.4
tt4034228,['Drama'],138.0,2016-11-18,7.4
tt2709768,"['Adventure', 'Comedy', 'Animation', 'Family']",87.0,2016-06-18,7.4
tt4276820,"['Drama', 'History']",115.0,2016-09-13,7.4
tt2267968,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",95.0,2016-01-23,7.4
tt4682786,"['Drama', 'Romance']",97.0,2016-12-06,7.4
tt5074352,"['Drama', 'Action']",161.0,2016-12-21,7.4
tt5022702,"['Horror', 'Thriller']",82.0,2016-03-12,7.4
tt2241351,"['Thriller', 'Drama']",98.0,2016-05-12,7.4
tt2567026,"['Adventure', 'Family', 'Fantasy']",113.0,2016-05-25,7.4
tt3410834,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",121.0,2016-03-09,7.4
tt4302938,"['Animation', 'Adventure', 'Family']",102.0,2016-08-18,7.4
tt5813916,"['Drama', 'War']",135.0,2016-11-04,7.4
tt2381991,"['Action', 'Adventure', 'Drama']",114.0,2016-04-06,7.4
tt3691740,"['Adventure', 'Family', 'Fantasy']",120.0,2016-06-01,7.4
tt1974419,"['Thriller', 'Horror', 'Mystery']",118.0,2016-06-08,7.4
tt3640424,"['Action', 'Drama', 'War', 'Romance', 'Thriller']",124.0,2016-11-17,7.4
tt4857264,"['Mystery', 'Crime', 'Thriller']",106.0,2016-09-22,7.4
tt2304933,"['Adventure', 'Science Fiction']",112.0,2016-01-14,7.4
tt3544112,"['Comedy', 'Romance', 'Drama', 'Music']",106.0,2016-03-11,7.4
tt4172430,"['Action', 'Drama', 'History', 'Thriller', 'War']",144.0,2016-01-13,7.4
tt2034800,"['Action', 'Adventure', 'Fantasy']",103.0,2016-12-16,7.4
tt4786282,"['Thriller', 'Mystery', 'Horror']",81.0,2016-07-21,7.4
tt1292566,"['Comedy', 'Romance']",110.0,2016-01-21,7.4
tt2592614,"['Action', 'Horror', 'Science Fiction']",107.0,2016-12-23,7.4
tt4438848,['Comedy'],91.0,2016-05-04,7.4
tt4698684,"['Adventure', 'Comedy', 'Drama']",101.0,2016-03-31,7.4
tt2823054,['Comedy'],98.0,2016-07-07,7.4
tt4572514,"['Crime', 'Drama', 'Thriller']",133.0,2016-12-12,7.4
tt3531824,"['Mystery', 'Adventure', 'Crime']",96.0,2016-07-27,7.4
tt3949660,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",112.0,2016-06-01,7.4
